product_name,unit,quantity,vol,value
"Torani Coffee Syrup, English Toffee Flavored Syrup",Fl Oz,25.4,25.4,25.4
Organic Concord Grape Juice,Count,1,1,1.0
Imagine Foods Enriched Vanilla Rice Beverage,Ounce,8,64,512.0
Lee Kum Kee Sauce Hoisin,Count,2,2.0,2.0
Glico Pocky Matcha Green Tea,Count,5,70,5.0
ICE CHIPS Candy Licorice,oz,1,1,1.76
Campbell's Chunky Soup,Ounce,12,18.8,225.6
Pride of India – Ajwain Seed Powder,Ounce,8,0.0,8.0
Strawberry Decaf Black Tea,Ounce,8,16.0,16.0
Diet Mountain Dew,Count,36,12,1.0
Father's Day Candy Chocolate Truffles,Count,24,24,24.0
"English Tea Store Loose Leaf, Tangiers Lemon Flavored White Tea",Ounce,2,2,2.0
Kettle Brand Potato Chips,Count,1,8.5,1.0
Tranquini Calming Drink With Herbal Adaptogens,Fl Oz,102,102.0,102.0
Sadaf Cardamom Tea Loose Leaf Box,Ounce,16,16,16.0
Green Apple Pu-erh Tea,Count,150,150,150.0
Olive Bruschetta by Botticelli,Ounce,2,10.2,20.4
"Emerald Nuts, Salt & Pepper Cashews",Ounce,4.34,100,17.37
Nestle Toll House Milk Chocolate Morsels,Ounce,12,12,72.0
Juicy Fruit Gum,Count,200,200,200.0
OtoKi Jin Ramen Spicy Flavor,Ounce,4,16.9,16.9
Christmastime Treasures - 4 Oz Resealable Bag - Christmas Themed Sprinkle Mix,Count,1,4,1.0
Crystal Light Sweet Tea Drink Mix,Count,19,1.56,19.0
"KIND Healthy Grains Bars, Oats & Honey with Toasted Coconut",Ounce,1.2,72.0,72.0
BUDDY BUDDER Brownie Batter,Ounce,12,12,12.0
"Jack Link's Beef Jerky, Peppered",Ounce,8,0.0,8.0
HU Organic Cashews + Vanilla Bean Dark Chocolate Covered Hunks,Ounce,4,24.0,24.0
Paskesz Sour Gummy Candy Sticks,Ounce,1,3.5,3.5
Nature's Path Organic Multi-Grain Oatbran Flakes Cereal,None,1,32,
Heinz Organic Tomato Ketchup,Ounce,2,44,88.0
Readi Bake Benefit Sugar Cookie Dough,Count,384,1,384.0
Lundberg Family Farms - Organic Quinoa Tri-Color Blend,Ounce,1,16.0,16.0
Lipton Iced Tea Bags,Count,22,22,22.0
Lakewood Organic Mango Juice Blend,Fl Oz,192,32,192.0
Gold Medal Lemon Bar Mix,Count,6,4.1,6.0
Heinz Tomato Ketchup,Ounce,1,7.1,114.0
Bob's Red Mill Gluten Free 1-to-1 Baking Flour,Ounce,44,44.0,44.0
steep by Bigelow Organic Rooibos Hibiscus Herbal Tea,Count,120,120,120.0
Nutiva Coconut Oil,Fl. Oz,14,14,16.0
Wilton Sprinkles Mix,bottle,1,3.65,1.0
Mother's Circus Animal Cookies,Ounce,30,1,30.0
LIFE SAVERS Breath Mints,Ounce,2.75,2.75,2.75
"Derma E Deep Moisturizing Formula Vitamin E 12,000 IU Crème",Ounce,1,4,4.0
"Beech-Nut Baby Food Pouches, Carrot Zucchini & Pear Veggie Puree Baby & Toddler Food",Count,12,3.5,12.0
Tropicana Essentials Orange Juice Blend,Fl Oz,46,46.0,46.0
Food For Life Ezekiel 4:9 Golden Flax Cereal,Fl Oz,6,16,96.0
Rice A Roni,Ounce,6,5,30.0
Pacific Foods Broth Chkn Ls Org,Fl Oz,32,32,32.0
Nestle Coffee Mate Coffee Creamer,None,180,,
Matouk's Soca Hot Sauce,Count,6,10,6.0
Lychee White Tea,Count,100,100.0,100.0
"Progresso Toppers, Broccoli Cheese Soup with Oyster Crackers",Ounce,1,12.2,1
Cheez-It Baked Snack Cheese Crackers,Count,12,12,12.0
Glutino Wafers Lemon,Ounce,3,7.1,21.3
Folgers Classic Decaf Medium Roast Ground Coffee,Ounce,22.6,22.6,22.6
Lucky Leaf Premium Tapioca Pudding,None,6,10,nan
Food to Live Barley Flour,Ounce,12,12,12.0
Armour Vienna Sausage,Ounce,4.6,18,82.8
OGX Coconut Milk Shampoo,Fl Oz,1,19.5,19.5
Cardini's Lite Caesar Dressing,Ounce,12,12.0,12.0
"International Delight Iced Coffee, Mocha",fl oz,64,64,64.0
Maud's Flavored Instant Coffee,Count,24,24,24.0
Dunkin Donuts Dunkin Decaf K-Cups,Ounce,24,8.8,8.8
Black Raspberry Peach Green Tea,Count,100,100.0,100.0
Cranberry Rooibos Tea (Loose),Ounce,8,0.0,8.0
SPICED Whole Decorticated Cardamom Seed,Ounce,6,0.25,6.0
Oregon Chai,Fl Oz,32,32.0,32.0
Mott's Mighty Flying Fruit Punch Juice Drink,Fl Oz,192,8,192.0
Bubs Goody Sweet Ovals Banana Caramel,Ounce,2,90,6.35
Smucker's Sugar Free Seedless Blackberry Jam,Ounce,6,12.75,76.5
Bloomingmore Flowers,Count,1,300,1.0
"Traditional Medicinals Tea, Organic Nighty Night",Count,96,96,96.0
Food to Live - Organic Brazil Nuts,Ounce,18,288.0,288.0
Monin Kiwi Syrup,Fl Oz,750,25.4,76.2
Chicken of The Sea Smoked Oysters,Ounce,9,3.75,33.75
Lola Savannah Butter Toffee Ground Decaf Coffee,Ounce,2,32.0,32.0
Stubbs Sauce Hatch Chile,Ounce,1,12,12.0
Stirrings 2 Pack Margarita Cocktail Rimmer,Ounce,3.5,3.5,3.5
Heartland America Red Beans,Fl Oz,25,25,400.0
Rustic_Bakery Shortbread Cookie,Count,2,4,2.0
Purina Friskies Dry Cat Food,Ounce,3.15,50.4,50.4
Louisiana Brand Sliced Jalapeno Peppers,Ounce,6,12,72.0
French's Classic Yellow Mustard,Ounce,16,14,224.0
"Badia Spices Spice, Cumin Seed Ground",Ounce,16,16.0,16.0
Fudge Striped Shortbread Cookies,Ounce,11.5,11.5,11.5
Clif Builder's Vanilla Almond Protein Bars,ounce,14.4,14.4,14.4
Pfanni Knödel Halb & Halb Mix,Ounce,7,0.5,7.0
Culturelle Baby Probiotic + Vitamin D Grow & Thrive Drops,ounce,0.3,0.3,0.3
Ghost Goodies Mix,Count,135,135,135.0
Stash Tea Holiday Chai,count,100,100,100.0
Frontier Co-op Organic Turmeric Ginger Blend,Ounce,16,1,16.0
Raspberry Ginseng Oolong Tea,Count,100,100.0,100.0
Polaner All Fruit Strawberry Spreadable Fruit,Ounce,10,10,10.0
Kool Aid Tropical Punch Drink Mix,Ounce,0.16,0.16,0.16
Chewy Granola - Strawberry,Ounce,2.12,12.6,12.6
"Watkins Pure Extract, Mint",Fl Oz,2,2.0,2.0
Unique Pretzels,Ounce,2,11,22.0
"Doctor In The Kitchen, Organic Flax Seed Crackers, Tomato & Basil",Ounce,5,5,5.0
CASCONES Original Pasta Sauce,Ounce,26,26.0,26.0
O'Creme Edible Luster Dust & Paint,Ounce,0.1411,1,0.1411
"Knorr Pasta Sides Pasta Sides Dish, Creamy Chicken",Ounce,4.2,4.2,50.4
Sadaf Shwarma Seasoning,Ounce,2.0,2.0,2.0
Jackson’s Sweet Potato Carolina BBQ Kettle Cooked Chips,Ounce,1,35.0,35.0
Sanded Watermelon Drops,Ounce,80,1,80.0
"Johnny's Parmesan & Garlic, Pasta Seasoning",Ounce,6,10,60.0
SOMOS Chipotle Refried Black Beans,Ounce,1,60.0,60.0
"Perdue, Fresh Cut Cutlets",Ounce,24,24,24.0
McCafe Breakfast Blend Ground Coffee,Ounce,12,12,12.0
Rockstar Sugar Free Energy Drink,Fl Oz,192,16,192.0
Built Bar,Count,12,12.0,12.0
Oak & Bond Coffee Scotch Whisky Barrel Aged Coffee,Ounce,10,10,10.0
"El Mexicano, Beef Chorizo",Ounce,9,9,9.0
GoodNites Bedwetting Underwear for Girls,Count,34,1,34.0
Godiva Chocolatier Belgium Milk Chocolate with Caramel Bar Gift,Ounce,24,24,36.0
Raspberry Merlot Chamomile Tea,Ounce,8,16.0,16.0
Crystal Light Sugar-Free Zero Calorie Liquid Water Enhancer,Fl Oz,19.44,1,19.44
Gefen Enriched Egg Noodle Egg Flakes,Ounce,12,12,36.0
Myojo Bowl Flavored Udon Noodles,Ounce,5.6,5.6,5.6
Paskesz Ultra Thin Rice Cake Squares,Ounce,4.9,4.9,4.9
Gokshura Powder,Ounce,2,56,2.0
Crazy Cup Blueberry Coffee Pods,Count,22,22.0,22.0
Barilla White Fiber Mini Shells Pasta,Count,12,12,12.0
ORGAIN Vanilla Bean Protein Shake,Fl Oz,11,11,11.0
Hello Kitty Senbei Rice Crackers,Ounce,1,1,3.9507
Pukka Herbs Organic Three Mint Tea,Count,6,20,6.0
Kirkland Signature SUNSWEET Dried Plums,Ounce,112,1,112.0
1883 Maison Routin Banana Syrup,Count,1,1,1.0
Thai Kitchen Lite Coconut Milk,Count,12,13.66,12.0
Tassimo Jacobs Espresso,Count,16,16,16.0
Flavor Originals Better Cheddars Crackers,Count,24,24,24.0
New 367929 Mountain Dew Can,Ounce,36,12,432.0
Z Natural Foods Organic Moon Milk Powder,Ounce,1,16.0,16.0
The Spice Way Sage Ground,Ounce,4,4.0,4.0
Amazon Brand - Happy Belly Cayenne Red Pepper,Ounce,2.75,2.75,2.75
Mrs. Wages Pasta Sauce Tomato Mix,Ounce,12,12,60.0
"Jav70406 - Java One Single Cup Coffee Pods, French Vanilla",Count,14,14,14.0
Krusteaz Buttermilk Biscuit Mix,Ounce,5,80.0,80.0
WuFuYuan Boba Tapioca Pearls,Ounce,8.8,17.6,17.6
Arrowhead Mills Puffed Millet Cereal,Ounce,6,6.0,6.0
Perrier Lemon Flavored Carbonated Mineral Water,Fl Oz,25.3,25.3,25.3
Santa Cruz Organic Peanut Butter Dark Roasted Creamy,Fl Oz,2,16,32.0
New England Coffee Colombian Supremo K-Cups,Count,96,96,96.0
Fresh California Navel Oranges,Ounce,128,128,128.0
McCormick Vanilla Beans,Ounce,2,0.976,0.976
Lucini Robust Garlic Infused Oil,Count,6,250,6.0
De Cecco Pasta,Ounce,5,16,80.0
Mrs. Wages Hot Spicy Pickles Quick Process Mix,Ounce,6.5,6.5,78.0
"Virgil’s, Zero Sugar Black Cherry, Great Tasting Zero Calorie Keto Friendly Soda",Count,24,12,24.0
RISE Brewing Co. | Oat Milk Nitro Cold Brew Latte,Fl Oz,4,7,28.0
Thai Kitchen Noodle Strfry Rice,Fl Oz,14,14,14.0
Krispy Kreme Original Glazed Doughnuts,Ounce,12,1,1.0
Nutella Ferrero,Ounce,2,1.92,3.8
Simply Desserts Sugar-Free Peach Jel,Ounce,1,4.2,1
Bar Harbor Fish Stock,Ounce,15,15,90.0
AriZona Diet Green Tea with Ginseng and Honey,Fl Oz,24,23,528.0
Verde Valle Black Beans,Ounce,1,16.0,16.0
Candy Baby Pacifier,Ounce,80,1,80.0
Parish White Rice,Ounce,5,80.0,80.0
"Campbell's Oven Sauces, Creamy Garlic Butter Chicken",ounce,6,12,72.0
Sarsons Malt Vinegar,Fl Oz,121.73,300,121.73
DIAMOND PET FOODS 74198611539 Dia Naturals Grain Free Whitefish and Sweet Potato for Dogs,Pound,5,5,5.0
Crystal Light Peach Mango Green Tea Drink Mix,Count,5,2,5.0
Patanjali Chef Specialty Golden Sella Basmati Rice,Count,1,1.0,1.0
Peet's Coffee Colombia Luminosa Ground Coffee,Ounce,1,12,12.0
CHOMPS Smoky BBQ Beef Stick,Count,1,1.0,1.0
Sanniti Italian Gluten Free Penne Rigate,Count,4,8.8,4.0
DEL MONTE Fruit Cocktail,ounce,12,15.25,183.0
Bossen Concentrated Syrup,Fl Oz,88,5.5,88.0
The Sausage Maker - Rounded Collagen Sausage Casings,Count,1,1.0,1.0
Grand Teton Ancient Grains,Ounce,688,0,688.0
Campbell's Well Yes! Plant-Based Chick'n Noodle Soup,Ounce,16.1,16.1,16.1
Avalanche Cafe Style Sweet Coffee Box,None,10,,
Pure Original Ingredients Calcium Chloride,Ounce,4,0.4,4.0
Mentos Chewy Mint Candy Roll,Count,15,15,15.0
Tru Glow Seltzer,Fl Oz,288,288,288.0
4C Sugar Free Liquid Water Enhancer,Fl Oz,1.62,1.62,1.62
Earth Balance Natural Peanut Butter and Flaxseed Spread,Ounce,3,16,48.0
Quest Tortilla Protein Chips,Ounce,8,1,9.0
Big Island Organics Noni Lemonade,Count,4,16,1.0
Pamelas Products Biscuit-Scone Mix,Fl Oz,6,13,78.0
Hayden Valley Foods Raspberry Yogurt Covered Pretzels,Ounce,5,30.0,30.0
De Cecco Pasta,Count,12,16,10.0
Numi Organic Ginger Lemon Tea,Count,16,16,16.0
Quaker Oats Quick 1 Minute Oatmeal,Ounce,2,5,160.0
Lundberg Organic Brown Rice Cakes,Count,12,8.5,12.0
Special Tea Pineapple Loose Black Tea,ounce,3,3,3.0
Kedem Grape Juice Concord,oz,32,128.0,128.0
Simply Organic Cumin Seed,Fl Oz,6,2.76,2.76
Jasmine Oolong Tea Artisan Quality - Whole Leaf Rolled With Real Jasmine,Ounce,3.5274,1,3.5274
Chocolate Bliss Gourmet Easter Basket,Count,1,1.0,1.0
Nature’s Bakery Gluten Free Fig Bars,Count,36,2,36.0
Pamelas Mix Bread & Flour Blnd Gf,Fl Oz,192,192,192.0
De la Rosa pulparindo,Count,20,20,20.0
Cap'n Crunch OOPS! All Berries Cereal,Ounce,7,11.5,80.5
"Mantova Grand’Aroma Flavored Extra Virgin Olive Oil, Rosemary",Ounce,8.48,8.48,8.5
"Larabar Fruit and Nut Bar, Coconut Cream Pie",oz,8.5,5,8.5
Anastasia Confections Coconut Cashew Crunch,Ounce,4.5,1,4.5
Mori-Nu Silken Tofu,Count,24,12,24.0
"JA-RU Toys, Magic Grow Capsules",Ounce,1,1,1.0
See’s Candies 1lb Toffee-ettes,Ounce,1,16,16.0
Pepsi Wild Cherry Zero Sugar,Fl Oz,20,20,20.0
Kashi Deco 3 Piece Bathroom Rug Set,Count,1,1.0,1.0
Organic Immunity Support Plant Based Juice,Count,6,1.0,6.0
Cry Baby Tears (Hard Candy),Ounce,5,80.0,80.0
Legendary Foods - High Protein Tortilla Shaped Chips,Ounce,1,12.0,12.0
Glory Foods Seasoned Southern Style Honey Carrots,Count,2,15.5,2.0
ZHOU NUTRITION Milk Thistle Liver Support Formula,Count,60,60,60.0
Roxy & Rich Cocoa Butter,Fl Oz,8,8,8.0
Chicken Crack Lemon Pepper Seasoning,Ounce,28,28,32.0
Colgate Colg-360 Adv Floss-Tip Bristles Soft,Count,4,1,4.0
Lindt Dubai Style Milk Chocolate Candy with Pistachio & Kadayif,Ounce,5.3,,
Nacho Cheese Sauce Dipping Cup,Count,10,10.0,10.0
Del Monte Yellow Cling Peaches,ounce,4,16.0,16.0
Gourmet Cashew Caramel Clusters with Dark Chocolate by It's Delish,Count,1,1.0,1.0
Chips Ahoy! Original Chocolate Chip Cookies,Ounce,3,18.2,54.6
Luster Dust - Snowflake White (4g 1x Pump),Count,1,4,1.0
Fanale Premium Milk Tea Flavoring Powder,Ounce,2.2,35.2,35.2
Spice Hunter RUB TANDOORI GLBL FSN,Ounce,1,1,1.9
Purina O.N.E. Cat Food Senior Protection Formula,oz,112,112,112.0
Kilishi - Spicy Beef Jerky African Fresh Dried Meat Deliciously Tasty Nigerian Snack,Ounce,1,1,3.9013
Choward's Peppermint Candy,Ounce,21.52,1,21.52
Windsor Castle Tea (Loose),Ounce,4,1,8.0
lowensenf extra hot mustard,Count,6,9.3,6.0
Harry & David Northwest Blend Single-Serve Coffee Cups,Count,18,18,36.0
Udis Gluten Free Original Granola,Fl Oz,12,6,72.0
Food to Live Pecan Pieces,Ounce,1,16.0,16.0
Steep Cafe Organic Jasmine Green Tea,Count,50,1,50.0
Chocolove Pure Milk Chocolate Mini Bar,ounce,12,15.6,15.6
Agar Agar Powder,Ounce,2,2.0,2.0
Utz Cotton Tails White Cheddar Cheese Balls,Ounce,1,8.5,1
SMOKE 'N MAGIC - Spicy BBQ Sauce - Level Up,Ounce,1,20.5,20.5
Del Monte Fruit and Chia Snack Cups,Ounce,2,7,14.0
Teeccino French Roast Herbal Tea,Count,10,10,10.0
Jovial Shells Gluten-Free Pasta,Ounce,2,12,24.0
Salsa Seasoning by Its Delish,Count,1,1.0,1.0
LesserEvil Fiery Hot Organic Popcorn,Ounce,4.6,13.8,13.8
Nescafe Gold Rich & Smooth Instant Coffee,Ounce,1,2.0,1.41
Littlearth NFL Miami Dolphins Basic Pet Jersey,Fl Oz,10.5,10.5,10.5
Buffalo Wild Wings Seasoning (Salt & Vinegar),Ounce,6.3,1,6.3
Community Coffee Breakfast Blend,Count,24,24,24.0
Nerds Rope Rainbow & Very Berry Bundle,Ounce,3.67,1,3.67
Soft Peppermint Sticks,Ounce,2,32.0,32.0
Blue Top Original Creamy Street Sauce,Count,6,9,1.0
George’s Beverage Company Lime Margarita Mix,Fl Oz,6,1,33.8
Maple Grove Fat Free Poppyseed Salad Dressing,Fl Oz,6,8,48.0
Mekhala Organic Green Curry Paste,Ounce,3.53,3.53,3.53
Premium Original Saltine Crackers,Ounce,3,16,48.0
Nut Pods Creamer Df Hazelnut,Fl Oz,11.2,1,11.2
Member's Mark Rosemary Leaves,Count,1,8.5,1.0
Rap Snacks Lil Baby Bar-B-Quin With My Honey Heat,Ounce,2.5,2.5,30.0
Borden Sandwich Mate Sliced Cheese,Ounce,10.67,10.67,10.67
Nuts Caddy Sweet 'N Spicy Trail Mix,Ounce,1.75,1.75,144.0
Nature's Path Organic - Cereal Rice Puffs,Ounce,6,2.12,12.0
Gerber Baby 2nd Foods,Ounce,2,2.5,50.0
Kraft Shake N Bake BBQ Glaze Seasoned Coating Mix by Kraft,Ounce,6,1,6.0
Baklava Assortment - Sugar Free,Count,1,1.0,1.0
V8 High Fiber Original,Fl Oz,6,46,276.0
L'eggs Women's Everyday Regular Panty Hose,Count,4,1,1.0
FRONTIER Organic Orange Flavor,Fl Oz,2,2.0,2.0
Aloha Maid Juice,Ounce,24,11.5,276.0
Fun Express - Trolls Pez Dispensers for Party,Count,12,12,12.0
LonoLife Thai Curry Beef Bone Broth Powder Mix,Ounce,1,1.97,1.97
Lean Cuisine Meal Bundle,Count,1,1.0,1.0
Organic Cranberry Pomegrante Juice,Count,12,32,12.0
Sushi Sonic Wasabi Blend,ounce,35,35.0,35.0
Foxy Fane 100ct Snack Box,Count,100,100,10.0
"Numi Black Tea, Organic, Aged Earl Grey Black",Count,18,18,18.0
Dum Dums Pineapple Lollipops,Count,50,50.0,50.0
Ragu Pizza Sauce,Fl Oz,24,14,336.0
Campbell's Classic Condensed Minestrone Soup,Fl Oz,600,600,600.0
"ONE DEGREE ORGANIC FOODS, Sprtd Oats, Og2, Steel Cut",Ounce,24,24,24.0
Coke Zero,fl oz,8.5,8.5,8.5
Pez Valentine’s Day Candy Dispensers,Count,12,12,12.0
Blueberry Lemon Decaf Black Tea,Ounce,4,12.0,12.0
A DOZEN COUSINS Brown Sugar Baked Beans,Ounce,12,10,10.0
Gatorade Thirst Quencher,Fl Oz,24,12,288.0
McCormick Culinary Whole Bay Leaves,Ounce,2,12,12.0
"Stryve Biltong, Beef Jerky",Ounce,12,16,12.0
Rani Raw Spanish Peanuts,Ounce,80,2.27,80.0
"Pacific Foods, Broth Chicken Natural Free Range",Ounce,32,8,32.0
Velveeta Cheesy Skillets Chicken Bacon Ranch Dinner Kit,Ounce,11.5,11.5,11.5
Organic Rooibos Tea Equal Exchange,Count,20,20,20.0
"Nature’s Turn Freeze-Dried Fruit Snacks, Pineapple Crisps",Ounce,2,1.2,2.4
Mauna Loa Milk Chocolate Macadamias,Count,3,6,3.0
STARBURST Original Fruit Chews,Ounce,27.5,6,165.0
Shore Lunch Creamy Wild Rice Soup Mix,Ounce,6,10.8,64.8
"Velveeta Cheesy Skillets, Ultimate Cheeseburger",Ounce,12.8,1,12.8
Season Sardines in Tomato Sauce,Ounce,4.37,26.22,26.22
Newman's Own Buon Gusto! Italian Seasoning,Ounce,2.19,2.19,2.19
Oh Boy! Oberto Thin Style Beef Jerky,Ounce,8,1.2,9.6
WYMANS WILD BLUEBERRY,Count,15,15,15.0
GREEN APPL HARD CANDY,Count,3,6,3.0
vitaminwater,fl oz,24,20,480.0
"Knorr Pasta Sides Dish, Cheesy Cheddar",Ounce,4.3,4.3,4.3
Twinings Mint Green Tea,Count,20,20,20.0
Caffe D'Vita Sugar Free Mocha Cappuccino Mix,Ounce,8.5,8.5,8.5
"Davidson's Organics, Dragonwell Green",Count,100,100,100.0
The Spice Hunter Szechwan Seasoning Blend,Ounce,2.1,2.1,2.1
Urban Accents Roasted Rotisserie Chicken Brine & Kit,Ounce,3.75,3.75,3.75
Raisin Nut Bran Oatmeal Crisp Breakfast Cereal,Count,1,19.7,1.0
Acco Loose Leaf Binder Rings,Count,100,100,100.0
Moon Cheese Cheddar Believe It,Ounce,1,12.0,1.0
52USA Mirin,Fl Oz,16.9,16.9,16.9
TWIZZLERS,Ounce,7.1,1,7.1
SPICED Zaatar Spice Blend,Ounce,6,6.0,6.0
Diamond of California Sweet Maple Walnuts,Count,1,4,1.0
Tic Tac Orange Candy,Count,288,1,288.0
Teapigs Chamomile Flowers Loose Tea,Ounce,1,3.5,3.5
New England Coffee French Vanilla,Count,72,72,72.0
Emerald Nuts,Count,4,5,4.0
Snyder's Itty Bitty Mini Pretzels,Ounce,4,12,48.0
Smart food Popcorn,Ounce,1,12,12.0
Pride of India- Flax Meal Flour,Ounce,1,16.0,16.0
PACIFIC FOODS Organic Lemon Balm & Sage Chicken Bone Broth,Ounce,32,32.0,32.0
Wholesome Sweeteners Organic Powdered Confectioners Sugar,Ounce,1,1,32.0
Hills Bros. Flavor Coffee,Ounce,1,12,48.0
"Splash Fizz, Raspberry Blackberry Flavored Sparkling Water",Fl Oz,240,240,240.0
Hostess Single Serve Orange CupCakes,Count,36,3.38,36.0
Trader Joes Fruit Jellies Bundle,Ounce,32,16,32.0
"Davidson's Organics, Ayurvedic Infusions, Energize",Count,1,25,1.0
G.H. Cretors Handcrafted Puffcorn Caramel Puffs,Ounce,1,7.5,7.5
La Choy Rice Noodles,Ounce,3,12,36.0
Lay's Potato Chips,Ounce,12.5,12.5,12.5
McCabe Organic Pressed Barley,Ounce,48,3,48.0
Taco Seasoning Mix,Count,10,1,10.0
Post Fruity PEBBLES Crunch'D Cereal,Ounce,11.5,0.7188,0.7188
Contadina Tomato Puree,Ounce,29,12,348.0
"Arm & Hammer, Super Washing Soda Detergent Booster",Ounce,55,1,110.0
Bridgford Sweet Baby Ray’s Beef Jerky Roasted Garlic,Ounce,10,20.0,20.0
Klein's Naturals Peanuts,Ounce,60,10,60.0
Laxmi Organic Whole Moong,Ounce,32,1.0,32.0
MARICH CONFECTIONERY Dark Choc Sea Salt Cashews,Ounce,2.3,2.3,2.3
Katz Gluten Free Burger Buns,Ounce,4,10,10.0
Viva Naturals Organic Dried Goji Berries,Ounce,32,1000,32.0
Judee's Goat Milk Powder,Ounce,1.5,24,24.0
"Frontier Natural Products, Organic Cut & Sifted Lemon Balm Leaf",Ounce,16,453,32.0
McCormick Grill Mates Honey Sriracha Marinade Mix,Ounce,1,12,12.0
Organic Yellow Whole Corn,Ounce,400,1,400.0
Oriente Dark Roast Coffee Pods,Count,24,24,24.0
Jfc Roasted Sesame Seeds,Ounce,4,8,32.0
Saco Mix Buttermilk Pwdr Can,Count,1,1,1.0
"Duncan Hines Perfect Size Mix, Golden Fudge",Ounce,2,9.4,18.8
Mentos Always White Bubble Fresh Sugar Free Gum,Count,100,100,4.0
Biokoma Pure and Organic Cistus - Rock Rose,Count,60,1,60.0
Welch's Fruit Juice Cocktail,Fl Oz,6,64,384.0
Arm & Hammer Baking Soda,Ounce,16,16,16.0
PAAS Golden Shimmer Egg Decorating Kit,None,1,1,
Diet Snapple - Diet Lemon Tea,Fl Oz,9,16,144.0
Walker Milk Chocolate & Salted Caramel Shortbread,Ounce,1,5.3,5.3
New York Bakery Five Cheese Texas Toast,Count,12,13.5,96.0
McCafé Colombian Medium Dark Roast Ground Coffee,ounce,12,72.0,72.0
SC55 Pop Corn Cardboard Cutout Standup,Count,1,1,1.0
G Hughes Sugar Free Honey Mustard Dipping Sauce,Ounce,1,18.0,18.0
Classic Caramel Moose Munch Popcorn,Ounce,4,4.0,4.0
Ocean Spray Craisins Greek Yogurt Covered,Fl Oz,5,5.0,5.0
Natural Vitality Calm,Ounce,8,8.0,8.0
"Nong Shim, Soup Bowl Noodle Spicy Shrimp",oz,3.03,3.03,3.03
AshaPops Turmeric Garlic Flavored Popped Water Lily Seeds,Ounce,1,1,6.0
Clint's Texas Salsa,Ounce,6,16,96.0
Poland Spring Distilled Water,Fl Oz,768,1,768.0
Crystal Light On The Go,count,15,8,15.0
Colgate Total Gum Health Mouthwash,Fl Oz,33.8,33.8,33.8
Dr. Pepper Soda,Ounce,36,12,432.0
Malt-O-Meal Raisin Bran Cereal,Ounce,27.4,,
"Happy Baby Organics Brain Support Blends Bananas, Spinach, Passionfruit & Oats with DHA and Choline 4oz Pouch (Pack of 16)",Ounce,4,16,64.0
YumEarth Organic Sour Giggles Chewy Candy,Ounce,5,5.0,5.0
LorAnn Oils Super Strength Flavoring,Fl Oz,1,1,1.0
Knorr Pasta Sides Stroganoff,Ounce,4,4,4.0
Wiley Wallaby 10 Ounce Classic Red Gourmet Australian Style Soft & Chewy Licorice Candy Beans,Ounce,3,10,30.0
Barilla Creamy Tomato Pesto,Ounce,6.5,,
Newtons Soft & Fruit Chewy Fig Cookies,Count,120,120,120.0
Colavita Italian Diced Tomatoes,Ounce,1,13.76,13.76
SEEDS OF CHANGE Organic Aromatic Jasmine Rice,Ounce,8.5,12,102.0
Krazy Sprinkles Mini Beads Sprinkles,Count,1,1.0,1.0
Mina Spicy Olive Mix,Ounce,12.5,75.0,75.0
Built Bar,Ounce,1,16.92,16.92
Bumble Bee Snack On The Run Everything Bagel Seasoning Tuna Salad With Crackers Kit,Ounce,3.35,3.35,3.35
P.ickerfresh Sweet Bread & Butter Pickle Chips,Ounce,16,16.0,16.0
Nonni's Triple Milk Chocolate without Nuts Biscotti,count,8,48.0,8
Ranch Style Beans,Ounce,6,15,90.0
MASHBOX Hershey's Kisses SPECIAL DARK,Ounce,2,8,32.0
"Langers Juice, Raspberry Lemonade",Ounce,4,101.4,405.6
Trappey's Red Devil Cayenne Pepper Sauce,Fl Oz,128,128,128.0
Dentyne Ice Peppermint Sugar Free Gum,Count,48,48,48.0
Maine Root Hand Crafted Lemon Lime Soda,Fl Oz,288,12,288.0
Bones Coffee Company Orange Sickle Flavored Coffee Pods,Count,12,12,12.0
Frontera Cloralen Bleach Regular,Fl Oz,121,121,121.0
"Envirokidz Organic, Cereal Kid Panda Puff Org",Fl Oz,6,10.6,63.6
Spectrum Naturals Organic Apple Cider Vinegar,Fl Oz,16,16.0,16.0
The 1949 Nut Co. Sea Salt and Pepper Virginia Style Peanuts,Ounce,20,20,20.0
Douwe Egberts Aroma Rood Decaf Coffee,Ounce,17.6,17.6,17.6
"NUTRAURIC - Uric Acid Cleanse and Kidney Support – Kidney Cleanse Tea – Includes Cherry, Nettle & Turmeric - 60 Enveloped Tea Bags - by Nutra Tea - Herbal Tea - (3 Pack)",Count,60,60,60.0
Beulah's Blackberry Cobbler Candy Corn,Ounce,5,80.0,80.0
BODYARMOR Sports Drink,Fl Oz,8,12,96.0
Amoretti - Natural Wild Huckleberry Artisan Flavor Paste,Ounce,160,160,160.0
V8 Low Sodium Original 100% Vegetable Juice,Fl Oz,46,100,138.0
Yuzu Kosho Rub,ounce,1,2.0,2.0
"Progresso Vegetable Classics, Minestrone Canned Soup",Ounce,19,19,19.0
JUSTIN'S Organic Dark Chocolate Peanut Butter Cups,Ounce,16.8,16.8,16.8
"Lucini, Extra Virgin Olive Oil Collection",Count,1,500,0.0
Stash Tea Wild Raspberry Hibiscus Herbal Tea,Count,100,100,100.0
